                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5914,                 2.5045,                0.95608,                0.62207,                0.60517,                0.56819,                0.32297,                 1.3653,                0.94446,                0.94176,              0.0004153,              0.0004153,              0.0004153
                      2,                 1.4546,                 1.2726,                0.93978,                0.83624,                 0.6931,                0.76993,                0.48008,                 1.2746,                0.81279,                0.93625,             0.00082373,             0.00082373,             0.00082373
                      3,                 1.4009,                0.98017,                0.93078,                0.71521,                0.75709,                0.79499,                0.48107,                 1.3171,                0.81861,                0.93955,              0.0012239,              0.0012239,              0.0012239
                      4,                 1.4128,                0.88704,                0.93314,                 0.7011,                0.73032,                0.80042,                0.47618,                 1.2753,                0.76258,                0.93027,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3749,                 0.8167,                0.92423,                0.85914,                0.79824,                0.88419,                0.53015,                 1.2357,                0.72161,                0.92353,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3598,                0.78699,                0.92218,                0.85528,                0.84557,                0.89901,                0.55858,                 1.2147,                0.67157,                0.91821,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3285,                0.75719,                0.91825,                0.88814,                0.79947,                0.90169,                0.55578,                 1.2067,                0.68332,                0.91263,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3214,                0.73495,                0.91332,                0.89093,                0.79227,                0.87802,                0.56464,                 1.2219,                0.65691,                0.92207,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3012,                0.71653,                0.91063,                0.86218,                0.82561,                0.88624,                0.54479,                 1.2047,                0.66044,                0.91046,               0.001151,               0.001151,               0.001151
                     10,                 1.3032,                 0.7117,                0.91177,                 0.8808,                 0.8357,                 0.8934,                0.55797,                 1.2334,                0.65351,                0.92506,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2916,                0.69124,                0.90915,                0.88702,                0.82913,                0.89196,                0.55466,                 1.1744,                0.65464,                0.90972,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2832,                0.68825,                 0.9049,                0.89293,                0.87307,                0.91541,                0.57351,                 1.1973,                0.63161,                0.91039,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2669,                0.67915,                0.90236,                0.85984,                0.83548,                0.90245,                0.57529,                 1.1809,                0.63131,                0.90569,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2583,                0.65805,                0.89697,                0.86531,                0.86597,                0.90764,                0.57251,                 1.1547,                  0.611,                0.90378,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2559,                0.66052,                0.90232,                0.91139,                0.89177,                0.93046,                0.60981,                 1.1605,                 0.6003,                0.90316,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.2682,                0.66161,                0.90221,                0.86047,                0.89823,                0.92552,                 0.5981,                 1.1463,                0.58935,                0.90407,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.2533,                 0.6543,                0.89963,                0.88319,                0.86591,                0.93376,                0.59991,                 1.1844,                0.59822,                0.90669,               0.001052,               0.001052,               0.001052
                     18,                 1.2354,                0.63571,                0.89814,                0.91963,                0.84425,                0.91288,                0.59406,                 1.1522,                0.58622,                0.90747,              0.0010396,              0.0010396,              0.0010396
                     19,                  1.245,                0.63675,                0.89627,                0.86565,                 0.8641,                0.90116,                0.57366,                 1.1862,                0.61768,                0.90648,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.2073,                0.62947,                0.89027,                 0.8724,                0.89846,                0.92464,                0.59369,                 1.1445,                0.59016,                0.90601,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.2273,                0.62453,                0.89691,                0.90777,                0.88949,                0.93995,                0.60381,                 1.1437,                0.58334,                0.90136,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.2203,                0.62596,                0.89245,                0.87829,                0.89657,                0.92127,                0.59281,                 1.1436,                0.57235,                0.89867,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.2222,                0.62063,                0.89234,                0.90024,                0.89111,                0.94023,                0.60771,                 1.1314,                 0.5739,                0.89798,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.2104,                0.61881,                0.88791,                0.87833,                  0.892,                 0.9307,                0.61441,                 1.1159,                0.55645,                0.89596,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.2003,                0.60412,                0.89035,                0.89656,                0.90857,                0.93183,                0.61029,                 1.1405,                0.57248,                0.90265,               0.000953,               0.000953,               0.000953
                     26,                 1.1863,                0.60684,                0.88377,                0.88307,                0.87127,                0.90411,                0.58595,                 1.1313,                0.56337,                0.89762,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.2136,                0.60822,                0.88826,                0.92289,                0.87014,                0.94075,                0.61449,                 1.1122,                0.55607,                0.89813,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.1872,                0.60017,                0.88472,                0.91061,                0.90862,                0.94335,                0.61295,                 1.1328,                0.55811,                0.90075,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.1879,                0.59445,                0.88795,                 0.8766,                0.90765,                0.93811,                 0.6191,                 1.1209,                0.55129,                0.89751,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.1824,                0.58665,                0.88445,                0.90528,                0.89909,                 0.9364,                 0.6193,                 1.1188,                0.54265,                0.89692,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.1965,                0.59205,                0.88661,                0.88012,                0.90558,                0.93902,                0.61912,                  1.112,                0.55458,                0.89617,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.1825,                0.58499,                  0.888,                0.90244,                0.88163,                0.93323,                0.59332,                 1.1361,                0.57045,                0.90209,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.1689,                0.58153,                 0.8857,                 0.8877,                 0.9157,                0.94033,                0.62183,                 1.1112,                0.54743,                0.89618,               0.000854,               0.000854,               0.000854
                     34,                 1.1618,                0.57387,                0.88359,                0.89267,                0.89133,                0.93057,                0.60558,                 1.1104,                0.54585,                0.89338,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.1649,                0.58017,                0.88604,                0.89444,                0.89255,                0.93542,                0.63156,                 1.0986,                 0.5349,                0.89534,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.1598,                0.57561,                 0.8835,                 0.8701,                0.91522,                0.93139,                0.61556,                 1.1033,                0.54679,                0.89523,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.1474,                0.56794,                0.87964,                0.89957,                0.92092,                0.94903,                0.63429,                 1.1124,                0.53194,                0.89678,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1548,                0.57011,                0.88492,                0.89578,                0.89481,                0.93707,                0.62163,                 1.1038,                 0.5387,                0.89175,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.1505,                0.56573,                0.87961,                0.91672,                0.90086,                0.94885,                0.63999,                  1.106,                0.53372,                0.89347,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.1384,                0.56385,                0.88248,                0.92635,                0.91645,                0.95183,                0.62181,                 1.0955,                0.53127,                0.89238,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.1494,                0.56439,                 0.8793,                 0.8964,                0.90568,                0.95087,                  0.627,                 1.1012,                0.53051,                0.89355,               0.000755,               0.000755,               0.000755
                     42,                 1.1402,                0.55761,                0.87911,                0.88118,                0.93072,                0.94014,                0.62998,                 1.0902,                0.52592,                0.89292,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.1406,                0.55936,                0.87557,                0.91109,                0.92408,                0.95033,                0.63361,                 1.0966,                0.53047,                  0.892,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.1325,                0.55263,                 0.8779,                0.91275,                0.92813,                0.95107,                0.63278,                 1.0872,                0.52393,                0.89234,             0.00071788,             0.00071788,             0.00071788
                     45,                  1.141,                0.55087,                0.87818,                0.90272,                0.93669,                 0.9471,                0.63035,                  1.091,                0.51818,                0.89398,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.1344,                0.55186,                0.87935,                0.92606,                0.91025,                0.95497,                0.64455,                 1.0754,                0.51553,                0.88933,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.1255,                0.55089,                0.87811,                0.93667,                0.90202,                0.95398,                0.64321,                 1.0857,                0.51814,                0.89041,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1263,                0.55023,                0.87757,                0.93034,                 0.9172,                0.95772,                0.64535,                 1.0802,                0.51275,                0.88982,             0.00066838,             0.00066838,             0.00066838
                     49,                  1.119,                0.54456,                0.87687,                0.92708,                0.91519,                0.94823,                0.64281,                 1.0889,                0.51468,                0.89255,               0.000656,               0.000656,               0.000656
                     50,                 1.1263,                0.54648,                0.87741,                0.91713,                0.92568,                0.96221,                0.65433,                 1.0856,                0.51023,                0.89217,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.1082,                0.53126,                 0.8725,                0.89172,                0.92117,                0.95815,                0.64581,                 1.0818,                0.51244,                0.89021,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.0978,                0.53346,                0.87834,                0.94814,                0.89369,                0.95757,                0.64715,                 1.0798,                0.51282,                0.88994,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1078,                0.53376,                0.87518,                0.91454,                0.90344,                0.95158,                0.64104,                 1.0757,                0.51622,                0.89069,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.1036,                0.53022,                0.87152,                0.90984,                 0.9367,                 0.9551,                0.65387,                 1.0686,                0.50783,                 0.8897,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1093,                0.52709,                0.87298,                0.92511,                0.89361,                0.95374,                0.64086,                 1.0748,                0.51269,                0.88983,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0918,                0.52615,                0.87405,                0.90941,                0.91727,                0.95271,                0.65531,                 1.0702,                0.50327,                0.89136,             0.00056938,             0.00056938,             0.00056938
                     57,                  1.089,                0.52102,                0.86939,                0.87051,                 0.9438,                0.95525,                0.65715,                 1.0642,                    0.5,                0.88656,               0.000557,               0.000557,               0.000557
                     58,                 1.1012,                0.53052,                0.87476,                0.87201,                0.94895,                0.95482,                0.65093,                 1.0747,                0.50458,                0.88926,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0854,                0.51885,                0.87224,                0.94088,                0.87237,                0.96177,                0.65608,                  1.072,                0.49795,                 0.8866,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0966,                0.51972,                0.87262,                0.94752,                0.88513,                   0.96,                0.65337,                 1.0701,                 0.4941,                 0.8897,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0932,                0.52452,                0.87082,                0.88589,                0.91923,                0.95124,                0.64858,                  1.069,                 0.5024,                 0.8875,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0807,                0.51749,                0.86874,                0.92983,                0.90509,                0.96064,                0.64667,                 1.0685,                 0.5007,                0.88781,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0829,                0.51039,                0.87354,                0.92907,                0.90306,                0.96404,                0.65778,                 1.0684,                0.48941,                  0.887,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0832,                0.51006,                0.87129,                0.92981,                0.90617,                0.95705,                0.64893,                 1.0664,                0.49255,                0.88511,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0753,                0.50945,                0.86957,                0.88746,                0.92855,                0.95242,                0.65397,                 1.0688,                0.49251,                0.88797,               0.000458,               0.000458,               0.000458
                     66,                 1.0609,                0.50544,                0.86876,                0.90426,                 0.9237,                0.95846,                0.65415,                 1.0675,                 0.4946,                0.88643,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0706,                0.50388,                0.86893,                0.89975,                0.93244,                0.95778,                0.65573,                 1.0687,                0.49403,                0.88543,             0.00043325,             0.00043325,             0.00043325
                     68,                  1.069,                0.50749,                0.86858,                0.92932,                0.91789,                0.95848,                 0.6575,                 1.0629,                0.49044,                0.88804,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.0599,                0.49623,                0.86715,                0.89774,                0.93697,                0.96078,                0.66389,                 1.0574,                0.48337,                0.88769,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0538,                0.49998,                0.87042,                0.92966,                0.91419,                0.96113,                 0.6594,                 1.0623,                0.48645,                 0.8867,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.0522,                0.49299,                0.86565,                0.93427,                0.92407,                0.96093,                0.65887,                 1.0657,                0.49007,                0.88679,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0646,                0.49781,                0.86679,                0.90824,                0.93068,                0.96193,                0.66486,                 1.0586,                 0.4862,                0.88626,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.0483,                0.49518,                0.86461,                 0.9341,                0.90627,                0.96535,                 0.6616,                 1.0571,                0.48826,                0.88621,               0.000359,               0.000359,               0.000359
                     74,                 1.0527,                0.49136,                 0.8629,                0.89454,                0.92061,                0.95906,                0.66043,                 1.0569,                0.48231,                0.88628,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.0399,                0.48641,                0.86673,                0.90827,                0.92397,                0.96378,                0.66186,                 1.0573,                0.48599,                0.88827,             0.00033425,             0.00033425,             0.00033425
                     76,                  1.043,                0.48841,                0.86181,                0.88872,                0.92635,                0.96383,                 0.6668,                 1.0599,                0.48627,                0.88933,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.0418,                0.48687,                0.86387,                0.89496,                  0.929,                 0.9632,                0.66632,                 1.0625,                 0.4837,                0.88847,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.0342,                0.48492,                0.86082,                 0.9163,                 0.9073,                  0.964,                0.66594,                 1.0611,                0.48014,                0.88807,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.0357,                0.48143,                0.86236,                0.89923,                0.92553,                 0.9633,                0.66623,                 1.0587,                 0.4761,                0.88794,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.0376,                 0.4809,                0.86269,                0.89399,                0.92922,                0.96231,                0.66542,                 1.0622,                0.48549,                0.88725,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.0255,                0.48145,                 0.8612,                0.94593,                0.88972,                0.96546,                0.66482,                 1.0639,                0.48077,                0.88774,                0.00026,                0.00026,                0.00026
                     82,                 1.0248,                0.47279,                0.86258,                0.90801,                0.92701,                0.96537,                0.65968,                  1.063,                 0.4794,                0.88772,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.0205,                0.47242,                0.85722,                0.91339,                0.92591,                0.96336,                0.66232,                 1.0608,                0.47615,                 0.8874,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.0289,                0.47563,                0.86166,                0.89823,                 0.9414,                 0.9645,                0.66568,                 1.0666,                 0.4761,                0.88771,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.0259,                0.47297,                0.86333,                0.92533,                0.91659,                0.96573,                0.66507,                 1.0611,                0.47643,                0.88743,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.0138,                0.47097,                0.85801,                0.92602,                0.92267,                0.96354,                0.65941,                 1.0611,                0.47962,                0.88777,             0.00019813,             0.00019813,             0.00019813
                     87,                  1.015,                0.47052,                0.85947,                0.92768,                0.90197,                0.96498,                0.66411,                 1.0611,                0.47553,                0.88622,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.0095,                0.46623,                0.85867,                0.90944,                0.92986,                0.96559,                0.66322,                 1.0669,                0.47927,                0.88716,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.0176,                0.46519,                0.85938,                0.89579,                0.93765,                0.96623,                0.66329,                 1.0626,                0.47596,                0.88572,               0.000161,               0.000161,               0.000161
                     90,                 1.0041,                0.45971,                0.85997,                0.89678,                0.93707,                0.96594,                  0.668,                 1.0594,                0.47508,                0.88539,             0.00014862,             0.00014862,             0.00014862
                     91,                0.99719,                0.45956,                0.86395,                0.90135,                0.93224,                0.96637,                0.66492,                 1.0642,                 0.4777,                0.88622,             0.00013625,             0.00013625,             0.00013625
                     92,                0.99468,                0.45577,                0.86595,                 0.8904,                0.94016,                0.96468,                0.66679,                 1.0608,                0.47776,                0.88619,             0.00012387,             0.00012387,             0.00012387
                     93,                0.99441,                0.45678,                0.86271,                0.88888,                0.93588,                0.96335,                0.66557,                 1.0631,                 0.4764,                0.88714,              0.0001115,              0.0001115,              0.0001115
                     94,                0.98305,                0.45002,                0.86545,                0.90647,                0.92354,                0.96536,                0.66896,                 1.0617,                0.47354,                0.88756,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.99229,                0.45143,                0.86452,                 0.9015,                0.92461,                0.96483,                0.67207,                 1.0656,                0.47448,                0.88814,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.9807,                0.44797,                0.86505,                 0.8884,                0.93396,                0.96326,                0.66717,                 1.0662,                0.47556,                0.88851,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.97654,                0.44554,                0.86131,                0.89782,                0.91426,                0.96345,                0.66668,                 1.0642,                0.47608,                 0.8881,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.96907,                0.44473,                0.86152,                0.89642,                0.93336,                0.96546,                0.66579,                 1.0617,                0.47479,                0.88792,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 0.9744,                 0.4452,                0.86435,                0.90035,                0.91693,                0.96512,                0.66971,                 1.0641,                0.47614,                0.88803,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.97031,                0.44274,                0.85986,                0.89777,                0.91984,                0.96422,                 0.6699,                 1.0634,                0.47535,                0.88818,             2.4875e-05,             2.4875e-05,             2.4875e-05
