                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4839,                 1.5171,                  0.946,                0.78256,                0.77225,                0.82216,                0.49758,                 1.2991,                0.76402,                0.93646,              0.0004153,              0.0004153,              0.0004153
                      2,                 1.4043,                0.84989,                0.93641,                  0.885,                0.81319,                0.87481,                0.53184,                 1.2457,                0.72768,                0.92423,             0.00082373,             0.00082373,             0.00082373
                      3,                 1.3867,                0.81889,                0.93342,                0.89658,                 0.8061,                0.88183,                0.54648,                 1.2484,                0.75258,                 0.9271,              0.0012239,              0.0012239,              0.0012239
                      4,                 1.3665,                0.77332,                0.92986,                   0.88,                0.79487,                0.88499,                0.51644,                 1.2512,                0.68809,                0.92453,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3517,                0.74041,                0.92321,                0.87773,                0.82713,                0.90705,                0.55677,                  1.213,                0.65881,                0.91805,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3203,                0.71846,                0.91599,                0.90119,                0.85447,                0.91086,                0.57425,                 1.2019,                0.64785,                0.91455,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2967,                0.70019,                0.91546,                0.90044,                0.87534,                0.91866,                0.57152,                 1.1918,                 0.6334,                0.91569,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2831,                0.68261,                0.90833,                0.91379,                0.85085,                0.91179,                0.57487,                 1.1891,                 0.6125,                0.91129,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2699,                0.66886,                0.90816,                0.88458,                 0.8222,                0.90566,                0.57184,                 1.1677,                 0.6315,                0.90518,               0.001151,               0.001151,               0.001151
                     10,                  1.277,                0.66724,                0.90581,                0.91311,                0.83034,                0.90929,                0.56875,                 1.2065,                0.64466,                 0.9153,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2492,                0.64352,                0.90344,                0.90982,                0.86693,                 0.9306,                0.58399,                  1.144,                0.60115,                0.90233,              0.0011263,              0.0011263,              0.0011263
                     12,                  1.239,                0.63447,                0.89828,                0.92482,                0.89019,                0.94693,                0.60474,                 1.1285,                0.59317,                0.90434,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2371,                0.62856,                0.89895,                0.91155,                0.87542,                0.92767,                0.58971,                 1.1561,                0.58992,                0.90433,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2124,                0.62192,                0.89143,                0.90491,                0.91642,                0.94307,                0.60427,                 1.1262,                0.57334,                0.89847,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2113,                0.61968,                0.89652,                0.92003,                0.85118,                0.92935,                0.59181,                 1.1651,                0.59159,                0.90266,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.2389,                0.62703,                0.89892,                 0.8988,                0.88074,                  0.938,                0.60428,                 1.1221,                0.55399,                0.90085,              0.0010644,              0.0010644,              0.0010644
                     17,                   1.21,                0.61396,                0.89417,                 0.8716,                0.87674,                0.92729,                 0.5939,                 1.1381,                0.56455,                0.90012,               0.001052,               0.001052,               0.001052
                     18,                 1.1968,                0.60175,                0.89257,                0.90395,                0.86237,                0.94523,                 0.6117,                 1.1302,                0.58425,                0.90624,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.2038,                0.60426,                0.89195,                0.86246,                0.88651,                0.93741,                0.60674,                 1.1538,                0.57788,                0.90212,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1724,                0.59202,                0.88612,                0.91757,                0.92515,                0.94741,                0.62029,                 1.1103,                0.55519,                0.89825,              0.0010149,              0.0010149,              0.0010149
